zone,avg_set_temp,min_set_temp,max_set_temp,most_common_mode,most_common_fan,operation_hours
Area 4,24.08,24,26,COOL,1,ONONONONONONONONONONONONONONONONONONONONONONONONON
Break Room,25.0,25,25,COOL,2,ONONONONONONONONONONONONONONONONONONONONONONONONON
Area 2,21.0,21,21,COOL,3,ONONONONONONONONONONONONONONONONONONONONONONONONON
Area 1,25.12,25,26,FAN,1,ONONONONONONONONONONONONONONONONONONONONONONONONON
Meeting Room,25.0,25,25,COOL,1,ONONONONONONONONONONONONONONONONONONONONONONONONON
Area 3,27.0,27,27,FAN,1,ONONONONONONONONONONONONONONONONONONONONONONONONON
